id,gid,x,y,v_x,v_y,radius,time
8,0,11.363871,-0.457823,-1.073128,-0.072815,0.200000,2.000000
9,0,6.547414,-0.857594,-1.057682,-0.355563,0.200000,2.000000
10,0,5.646878,0.064110,-0.703052,-0.171319,0.200000,2.000000
11,0,12.758100,-0.626988,-1.170543,0.011856,0.200000,2.000000
12,0,11.624124,0.552736,-1.010093,-0.030425,0.200000,2.000000
13,0,6.886022,-0.204709,-1.027078,-0.239744,0.200000,2.000000
14,0,4.891324,-0.614542,-1.265948,0.008984,0.200000,2.000000
15,0,11.739537,1.216028,-1.201944,0.053722,0.200000,2.000000
16,0,4.232959,-0.194277,-1.370792,-0.060052,0.200000,2.000000
17,0,5.498402,0.785726,-0.930968,-0.098971,0.200000,2.000000
18,0,7.798452,-0.765511,-1.114107,-0.294609,0.200000,2.000000
19,0,5.546750,-1.361559,-1.170599,-0.268598,0.200000,2.000000
20,1,6.941941,5.738974,-0.214203,-1.216187,0.200000,2.000000
21,1,7.902524,-6.164983,-0.293402,-1.246726,0.200000,2.000000
22,1,6.357900,1.149809,-0.505026,-0.623402,0.200000,2.000000
23,1,8.503929,-5.014117,-0.369873,-1.226215,0.200000,2.000000
24,1,5.531867,3.676370,0.139134,-1.041994,0.200000,2.000000
25,1,8.059674,-4.021766,-0.223541,-1.261126,0.200000,2.000000
26,1,6.835513,4.617787,0.004473,-1.159741,0.200000,2.000000
27,1,4.544349,0.353950,-0.577236,-0.534777,0.200000,2.000000
28,1,4.208695,1.678006,-0.632738,-0.684061,0.200000,2.000000
29,1,3.987127,-1.374073,-0.056226,-1.475129,0.200000,2.000000
30,1,7.197306,1.952332,-0.259019,-0.929141,0.200000,2.000000
31,1,7.177229,-6.366194,-0.062393,-1.279264,0.200000,2.000000
32,1,5.335879,1.544107,-0.143450,-0.486928,0.200000,2.000000
33,1,7.725739,3.479826,-0.246305,-1.149156,0.200000,2.000000
34,1,5.124633,4.739336,0.076116,-1.127615,0.200000,2.000000
35,1,8.827975,2.054612,-0.338794,-0.930716,0.200000,2.000000
36,1,6.106603,2.562405,-0.034548,-0.988649,0.200000,2.000000
37,1,8.082095,2.091224,-0.323539,-1.229641,0.200000,2.000000
38,1,8.813446,3.002707,-0.298628,-0.904586,0.200000,2.000000
39,1,6.818303,6.858655,0.002532,-1.258423,0.200000,2.000000
0,0,8.445548,0.017517,-1.032202,-0.413481,0.200000,2.050000
1,0,10.519944,0.074548,-1.065111,-0.529579,0.200000,2.050000
2,0,5.732462,-0.630307,-1.044804,-0.264332,0.200000,2.050000
3,0,4.731360,-1.318287,-1.250834,-0.129594,0.200000,2.050000
4,0,7.382342,0.354442,-0.854465,-0.384092,0.200000,2.050000
5,0,3.452237,0.451515,-1.296057,0.037458,0.200000,2.050000
6,0,11.673944,-1.033566,-1.079086,-0.197204,0.200000,2.050000
